weather_station,date,hour,preciptation,max_temperature,min_temperature,Insolacao,evaporation,average_temperature,average_relative_humidity,average_wind_speed
83587,01/01/15,00:00:00,,32.9,,6.5,7.4,26.44,61,1.35
83587,01/01/15,12:00:00,0,,21.6,,,,,
83587,02/01/15,00:00:00,,32.6,,7.5,5,27,57,0.9
83587,02/01/15,12:00:00,0.4,,21.7,,,,,
83587,03/01/15,00:00:00,,33.4,,8.5,5.1,27.44,56.5,1.566667
83587,03/01/15,12:00:00,0,,21.4,,,,,
83587,04/01/15,00:00:00,,30.2,,4.9,6.9,25.46,60.5,1.366667
83587,04/01/15,12:00:00,0,,21.2,,,,,
83587,05/01/15,00:00:00,,30.3,,5.4,5.6,25.28,52.75,1.233333
83587,05/01/15,12:00:00,0,,20.2,,,,,
83587,06/01/15,00:00:00,,30.2,,7,7.8,24.56,53.75,1.666667
83587,06/01/15,12:00:00,0,,19.9,,,,,
83587,07/01/15,00:00:00,,27.6,,9.9,8,23.22,59.5,1.6
83587,07/01/15,12:00:00,0,,19.6,,,,,
83587,08/01/15,00:00:00,,29.8,,11.7,6.4,24.18,47,1.2
83587,08/01/15,12:00:00,0,,20.6,,,,,
83587,09/01/15,00:00:00,,30.6,,11.8,8.5,25.08,42.5,0.766667
83587,09/01/15,12:00:00,0,,20.9,,,,,
83587,10/01/15,00:00:00,,33.2,,11.3,9.3,26.7,44.5,0.8
83587,10/01/15,12:00:00,0,,21.3,,,,,
83587,11/01/15,00:00:00,,33.1,,11.7,8.3,27,40.75,1.433333
83587,11/01/15,12:00:00,0,,22,,,,,
83587,12/01/15,00:00:00,,32.8,,11.9,10.5,27.5,35.25,0.666667
83587,12/01/15,12:00:00,0,,22.9,,,,,
83587,13/01/15,00:00:00,,33.3,,10.3,11.9,27.76,41.75,0.7
83587,13/01/15,12:00:00,0,,24,,,,,
83587,14/01/15,00:00:00,,32.2,,11.4,11.5,26.46,47.75,0.766667
83587,14/01/15,12:00:00,0,,23.4,,,,,
83587,15/01/15,00:00:00,,29.6,,5.7,10.1,25.14,48.5,0.9
83587,15/01/15,12:00:00,0,,21.8,,,,,
83587,16/01/15,00:00:00,,31.6,,11.7,8,26.2,44.75,1.466667
83587,16/01/15,12:00:00,0,,22.2,,,,,
83587,17/01/15,00:00:00,,32.2,,11.6,8.8,26.68,41.5,0.7
83587,17/01/15,12:00:00,0,,22.2,,,,,
83587,18/01/15,00:00:00,,32.8,,11.8,9.2,27.22,38.75,1.233333
83587,18/01/15,12:00:00,0,,22.4,,,,,
83587,19/01/15,00:00:00,,32.2,,11.5,11.6,26.46,45.25,1.066667
83587,19/01/15,12:00:00,0,,22.9,,,,,
83587,20/01/15,00:00:00,,32.6,,11.7,9.9,27.02,38.75,1.466667
83587,20/01/15,12:00:00,0,,22.2,,,,,
83587,21/01/15,00:00:00,,33.9,,9.2,9.3,27.22,44.25,0.7
83587,21/01/15,12:00:00,0,,22.6,,,,,
83587,22/01/15,00:00:00,,32.4,,9.2,7.4,27.46,43,1.1
83587,22/01/15,12:00:00,6.8,,22.6,,,,,
83587,23/01/15,00:00:00,,29.6,,4.1,8.8,24.5,52.75,1.266667
83587,23/01/15,12:00:00,0,,21.6,,,,,
83587,24/01/15,00:00:00,,27.9,,1.4,5.8,21.92,77.25,1.033333
83587,24/01/15,12:00:00,1,,19.6,,,,,
83587,25/01/15,00:00:00,,29.7,,7.6,3.3,22.56,71,1.2
83587,25/01/15,12:00:00,14.2,,18.7,,,,,
83587,26/01/15,00:00:00,,31.2,,7.8,2.6,23.06,70,1.4
83587,26/01/15,12:00:00,31,,18.8,,,,,
83587,27/01/15,00:00:00,,28.3,,1.9,3.7,21.82,76.5,0.366667
83587,27/01/15,12:00:00,34.1,,18.9,,,,,
83587,28/01/15,00:00:00,,29,,3,3.1,22.48,74,0.966667
83587,28/01/15,12:00:00,5.1,,18.9,,,,,
83587,29/01/15,00:00:00,,31.7,,9.1,4.2,25.14,63.75,1.75
83587,29/01/15,12:00:00,10.2,,20.2,,,,,
83587,30/01/15,00:00:00,,31.8,,6.1,4.9,26.98,52,0.9
83587,30/01/15,12:00:00,1,,22.6,,,,,
83587,31/01/15,00:00:00,,32.2,,8.2,6.4,26.76,55.25,0.8
83587,31/01/15,12:00:00,0,,23.1,,,,,
83587,01/02/15,00:00:00,,32,,9.8,7.3,26.02,53,1.3
83587,01/02/15,12:00:00,0,,21.7,,,,,
83587,02/02/15,00:00:00,,31.1,,11,7.5,26.2,51,1.266667
83587,02/02/15,12:00:00,0,,22.8,,,,,
83587,03/02/15,00:00:00,,29.6,,7.3,6.7,23.5,63,0.966667
83587,03/02/15,12:00:00,0,,21.2,,,,,
83587,04/02/15,00:00:00,,29.8,,5.1,5.9,22.9,72.25,0.833333
83587,04/02/15,12:00:00,13.4,,18.8,,,,,
83587,05/02/15,00:00:00,,26.3,,1.2,3.2,21.04,85.25,1
83587,05/02/15,12:00:00,16.3,,19.2,,,,,
83587,06/02/15,00:00:00,,22.3,,0,4.7,20.16,91,1.3
83587,06/02/15,12:00:00,39.5,,19,,,,,
83587,07/02/15,00:00:00,,26.5,,1.4,0.9,20.5,89.5,0.966667
83587,07/02/15,12:00:00,5.2,,17.9,,,,,
83587,08/02/15,00:00:00,,21.3,,0,0.8,20.12,95.5,1.3
83587,08/02/15,12:00:00,25.5,,19.2,,,,,
83587,09/02/15,00:00:00,,24.4,,1.9,0.4,21.14,87.75,0.833333
83587,09/02/15,12:00:00,38.8,,19.4,,,,,
83587,10/02/15,00:00:00,,30.8,,8.8,1,24.46,67.75,0.8
83587,10/02/15,12:00:00,11.9,,19.4,,,,,
83587,11/02/15,00:00:00,,29,,4.2,5.3,24.5,60.5,1.266667
83587,11/02/15,12:00:00,0,,21,,,,,
83587,12/02/15,00:00:00,,31.5,,11.3,4.1,26.2,45.25,0.966667
83587,12/02/15,12:00:00,0,,20.9,,,,,
83587,13/02/15,00:00:00,,32.2,,11.2,5.8,26.86,47.25,1.066667
83587,13/02/15,12:00:00,0,,21.6,,,,,
83587,14/02/15,00:00:00,,31.8,,8.4,7.3,26.04,51.75,0.766667
83587,14/02/15,12:00:00,0,,21.8,,,,,
83587,15/02/15,00:00:00,,30.4,,9.2,7,25.66,57.75,0.9
83587,15/02/15,12:00:00,0,,22.2,,,,,
83587,16/02/15,00:00:00,,30,,6.7,6.2,23.06,63.75,0.766667
83587,16/02/15,12:00:00,0,,19.8,,,,,
83587,17/02/15,00:00:00,,29,,4.7,4.4,23.94,68.25,0.9
83587,17/02/15,12:00:00,42.9,,19.8,,,,,
83587,18/02/15,00:00:00,,27.1,,0.4,4.1,21.58,75.5,1.25
83587,18/02/15,12:00:00,0,,18.8,,,,,
83587,19/02/15,00:00:00,,27.4,,0.3,2.4,22.2,75.25,0.9
83587,19/02/15,12:00:00,18,,18.9,,,,,
83587,20/02/15,00:00:00,,29.2,,8.2,3.1,24.62,54.25,1.366667
83587,20/02/15,12:00:00,1.2,,20.8,,,,,
83587,21/02/15,00:00:00,,28.6,,11.1,5.9,24.38,54.75,1.533333
83587,21/02/15,12:00:00,0,,21.2,,,,,
83587,22/02/15,00:00:00,,29.2,,10.6,6.2,24.58,52.25,0.966667
83587,22/02/15,12:00:00,0,,21,,,,,
83587,23/02/15,00:00:00,,29.4,,10.5,6.7,24.62,54.5,1.233333
83587,23/02/15,12:00:00,0,,20.6,,,,,
83587,24/02/15,00:00:00,,29.3,,7.6,7.2,24.02,59.5,1
83587,24/02/15,12:00:00,0,,20.7,,,,,
83587,25/02/15,00:00:00,,29.8,,5.1,6,23,72,1.166667
83587,25/02/15,12:00:00,0,,19.6,,,,,
83587,26/02/15,00:00:00,,32,,8,3.4,25.1,62,1
83587,26/02/15,12:00:00,13.7,,20.2,,,,,
83587,27/02/15,00:00:00,,28.4,,5.9,5.3,23.26,75.75,0.95
83587,27/02/15,12:00:00,2.2,,20.2,,,,,
83587,28/02/15,00:00:00,,30.2,,6.7,2.9,24.14,71,0.466667
83587,28/02/15,12:00:00,35.2,,19.7,,,,,
83587,01/03/15,00:00:00,,26.7,,3.6,3.7,22.96,63.5,1.8
83587,01/03/15,12:00:00,1.5,,20.4,,,,,
83587,02/03/15,00:00:00,,27.9,,5.8,4.4,22.86,61.75,1.4
83587,02/03/15,12:00:00,0,,19.4,,,,,
83587,03/03/15,00:00:00,,29.5,,5.7,5,23.88,68.25,0.7
83587,03/03/15,12:00:00,0,,19.9,,,,,
83587,04/03/15,00:00:00,,28.2,,4.6,4.4,24,66.25,1.6
83587,04/03/15,12:00:00,0,,21.2,,,,,
83587,05/03/15,00:00:00,,29.9,,8.1,4.5,23.36,65.75,1.066667
83587,05/03/15,12:00:00,0,,19.6,,,,,
83587,06/03/15,00:00:00,,30.6,,8.7,4,23.6,67.25,0.866667
83587,06/03/15,12:00:00,1.1,,19.4,,,,,
83587,07/03/15,00:00:00,,30.5,,8.1,4.1,24.72,59,1
83587,07/03/15,12:00:00,47.4,,19.3,,,,,
83587,08/03/15,00:00:00,,28.3,,0.9,3.9,23.3,67,1.066667
83587,08/03/15,12:00:00,0,,20.9,,,,,
